POSTE;DATE;FFM;DIRT
33281001;19730320;2,6;
33281001;19730321;2,6;
33281001;19730322;3,9;
33281001;19730323;3,1;
33281001;19730324;2,9;
33281001;19730325;3,3;
33281001;19730326;2,5;
33281001;19730327;1,1;
33281001;19730328;2,3;
33281001;19730329;4,5;
33281001;19730330;2,0;
33281001;19730331;2,3;
33281001;19730401;2,4;
33281001;19730402;5,1;
33281001;19730403;4,1;
33281001;19730404;1,3;
33281001;19730405;1,8;
33281001;19730406;2,4;
33281001;19730407;3,6;
33281001;19730408;2,5;
33281001;19730409;5,0;
33281001;19730410;5,6;
33281001;19730411;4,1;
33281001;19730412;5,1;
33281001;19730413;1,9;
33281001;19730414;4,1;
33281001;19730415;4,4;
33281001;19730416;4,3;
33281001;19730417;3,0;
33281001;19730418;3,3;
33281001;19730419;3,6;
33281001;19730420;3,9;
33281001;19730421;3,6;
33281001;19730422;3,9;
33281001;19730423;0,9;
33281001;19730424;4,5;
33281001;19730425;2,0;
33281001;19730426;1,0;
33281001;19730427;3,4;
33281001;19730428;5,0;
33281001;19730429;5,1;
33281001;19730430;4,9;
33281001;19730501;4,0;
33281001;19730502;3,6;
33281001;19730503;3,5;
33281001;19730504;2,8;
33281001;19730505;5,1;
33281001;19730506;4,9;
33281001;19730507;5,4;
33281001;19730508;5,1;
33281001;19730509;2,1;
33281001;19730510;2,1;
33281001;19730511;3,0;
33281001;19730512;1,5;
33281001;19730513;2,3;
33281001;19730514;2,0;
33281001;19730515;2,8;
33281001;19730516;3,1;
33281001;19730517;3,9;
33281001;19730518;3,8;
33281001;19730519;5,4;
33281001;19730520;6,5;
33281001;19730521;4,6;
33281001;19730522;4,3;
33281001;19730523;1,8;
33281001;19730524;1,8;
33281001;19730525;3,4;
33281001;19730526;2,4;
33281001;19730527;5,3;
33281001;19730528;3,6;
33281001;19730529;3,5;
33281001;19730530;3,4;
33281001;19730531;3,0;
33281001;19730601;3,8;
33281001;19730602;2,8;
33281001;19730603;2,4;
33281001;19730604;3,1;
33281001;19730605;5,3;
33281001;19730606;3,9;
33281001;19730607;2,3;
33281001;19730608;2,4;
33281001;19730609;1,9;
33281001;19730610;2,8;
33281001;19730611;3,0;
33281001;19730612;2,0;
33281001;19730613;3,0;
33281001;19730614;2,4;
33281001;19730615;2,6;
33281001;19730616;3,6;
33281001;19730617;4,1;
33281001;19730618;1,8;
33281001;19730619;3,5;
33281001;19730620;5,9;
33281001;19730621;2,4;
33281001;19730622;5,0;
33281001;19730623;4,0;
33281001;19730624;2,5;
33281001;19730625;2,6;
33281001;19730626;2,8;
33281001;19730627;2,9;
33281001;19730628;3,5;
33281001;19730629;1,9;
33281001;19730630;2,0;
33281001;19730701;3,4;
33281001;19730702;1,5;
33281001;19730703;1,3;
33281001;19730704;2,1;
33281001;19730705;4,3;
33281001;19730706;4,4;
33281001;19730707;3,1;
33281001;19730708;2,4;
33281001;19730709;2,1;
33281001;19730710;2,3;
33281001;19730711;2,9;
33281001;19730712;2,4;
33281001;19730713;2,1;
33281001;19730714;3,1;
33281001;19730715;4,9;
33281001;19730716;4,5;
33281001;19730717;4,8;
33281001;19730718;4,9;
33281001;19730719;4,1;
33281001;19730720;3,1;
33281001;19730721;1,0;
33281001;19730722;3,6;
33281001;19730723;5,3;
33281001;19730724;7,4;
33281001;19730725;5,0;
33281001;19730726;2,4;
33281001;19730727;1,8;
33281001;19730728;3,1;
33281001;19730729;2,8;
33281001;19730730;2,8;
33281001;19730731;1,6;
33281001;19730801;2,5;
33281001;19730802;2,8;
33281001;19730803;2,6;
33281001;19730804;3,9;
33281001;19730805;2,4;
33281001;19730806;3,6;
33281001;19730807;3,0;
33281001;19730808;3,3;
33281001;19730809;1,9;
33281001;19730810;2,4;
33281001;19730811;2,4;
33281001;19730812;2,0;
33281001;19730813;2,5;
33281001;19730814;3,5;
33281001;19730815;2,9;
33281001;19730816;2,6;
33281001;19730817;2,6;
33281001;19730818;1,3;
33281001;19730819;2,3;
33281001;19730820;3,4;
33281001;19730821;1,8;
33281001;19730822;2,0;
33281001;19730823;3,6;
33281001;19730824;2,3;
33281001;19730825;1,5;
33281001;19730826;2,5;
33281001;19730827;3,5;
33281001;19730828;3,6;
33281001;19730829;2,4;
33281001;19730830;2,8;
33281001;19730831;3,3;
33281001;19730901;2,1;
33281001;19730902;1,6;
33281001;19730903;1,1;
33281001;19730904;2,5;
33281001;19730905;2,5;
33281001;19730906;2,9;
33281001;19730907;2,1;
33281001;19730908;1,5;
33281001;19730909;1,4;
33281001;19730910;1,1;
33281001;19730911;2,9;
33281001;19730912;3,3;
33281001;19730913;1,5;
33281001;19730914;3,3;
33281001;19730915;3,5;
33281001;19730916;1,8;
33281001;19730917;2,9;
33281001;19730918;2,8;
33281001;19730919;4,4;
33281001;19730920;4,1;
33281001;19730921;3,6;
33281001;19730922;2,3;
33281001;19730923;2,8;
33281001;19730924;1,4;
33281001;19730925;2,0;
33281001;19730926;2,1;
33281001;19730927;2,8;
33281001;19730928;2,4;
33281001;19730929;2,9;
33281001;19730930;2,0;
33281001;19731001;4,3;
33281001;19731002;4,1;
33281001;19731003;2,5;
33281001;19731004;4,0;
33281001;19731005;4,3;
33281001;19731006;3,6;
33281001;19731007;2,1;
33281001;19731008;0,8;
33281001;19731009;1,1;
33281001;19731010;1,4;
33281001;19731011;1,5;
33281001;19731012;2,6;
33281001;19731013;7,1;
33281001;19731014;9,3;
33281001;19731015;4,1;
33281001;19731016;7,5;
33281001;19731017;2,1;
33281001;19731018;2,6;
33281001;19731019;2,0;
33281001;19731020;1,4;
33281001;19731021;3,3;
33281001;19731022;0,6;
33281001;19731023;1,3;
33281001;19731024;2,0;
33281001;19731025;2,1;
33281001;19731026;1,5;
33281001;19731027;2,9;
33281001;19731028;1,6;
33281001;19731029;1,5;
33281001;19731030;1,8;
33281001;19731031;1,5;
33281001;19731101;1,9;
33281001;19731102;4,0;
33281001;19731103;4,8;
33281001;19731104;4,9;
33281001;19731105;4,5;
33281001;19731106;3,1;
33281001;19731107;1,9;
33281001;19731108;2,0;
33281001;19731109;1,3;
33281001;19731110;1,0;
33281001;19731111;3,1;
33281001;19731112;2,1;
33281001;19731113;3,6;
33281001;19731114;4,1;
33281001;19731115;2,8;
33281001;19731116;1,1;
33281001;19731117;2,0;
33281001;19731118;1,6;
33281001;19731119;1,6;
33281001;19731120;1,6;
33281001;19731121;0,6;
33281001;19731122;0,9;
33281001;19731123;1,0;
33281001;19731124;0,5;
33281001;19731125;0,8;
33281001;19731126;3,0;
33281001;19731127;0,8;
33281001;19731128;2,9;
33281001;19731129;5,4;
33281001;19731130;2,5;
33281001;19731201;6,0;
33281001;19731202;5,8;
33281001;19731203;2,6;
33281001;19731204;1,4;
33281001;19731205;1,0;
33281001;19731206;1,4;
33281001;19731207;4,1;
33281001;19731208;5,8;
33281001;19731209;2,9;
33281001;19731210;0,9;
33281001;19731211;0,8;
33281001;19731212;0,6;
33281001;19731213;3,8;
33281001;19731214;4,4;
33281001;19731215;3,3;
33281001;19731216;1,0;
33281001;19731217;3,4;
33281001;19731218;1,9;
33281001;19731219;6,1;
33281001;19731220;4,1;
33281001;19731221;3,8;
33281001;19731222;5,0;
33281001;19731223;1,3;
33281001;19731224;2,4;
33281001;19731225;5,8;
33281001;19731226;3,4;
33281001;19731227;1,0;
33281001;19731228;1,5;
33281001;19731229;1,0;
33281001;19731230;0,0;
33281001;19731231;1,6;
33281001;19740101;2,1;
33281001;19740102;2,8;
33281001;19740103;3,6;
33281001;19740104;3,1;
33281001;19740105;4,9;
33281001;19740106;3,6;
33281001;19740107;3,9;
33281001;19740108;4,4;
33281001;19740109;9,1;
33281001;19740110;2,4;
33281001;19740111;1,9;
33281001;19740112;2,3;
33281001;19740113;3,3;
33281001;19740114;4,1;
33281001;19740115;2,8;
33281001;19740116;3,8;
33281001;19740117;2,8;
33281001;19740118;2,0;
33281001;19740119;1,8;
33281001;19740120;2,4;
33281001;19740121;0,3;
33281001;19740122;1,8;
33281001;19740123;1,0;
33281001;19740124;1,8;
33281001;19740125;1,8;
33281001;19740126;3,1;
